"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040747","SANANDAJ, IR","2025-02-26","0.00",",,S",,,"26","H,,S","39",",,S",,
"IRM00040747","SANANDAJ, IR","2025-02-27","0.00",",,S",,,"27","H,,S","44",",,S",,
"IRM00040747","SANANDAJ, IR","2025-02-28","0.00",",,S",,,"27","H,,S",,,"15",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-01","0.00",",,S",,,"33","H,,S","48",",,S","17",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-02","0.00",",,S",,,"34","H,,S","46",",,S",,
"IRM00040747","SANANDAJ, IR","2025-03-03","0.00",",,S",,,"36","H,,S","52",",,S","18",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-04","0.00",",,S",,,"42","H,,S","56",",,S","24",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-05","0.03",",,S",,,"45","H,,S",,,"34",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-06","0.00",",,S",,,"46","H,,S","60",",,S",,
"IRM00040747","SANANDAJ, IR","2025-03-07","0.25",",,S",,,"45","H,,S","58",",,S","30",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-08","0.09",",,S",,,"49","H,,S","56",",,S","44",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-09","0.50",",,S",,,"43","H,,S","50",",,S",,
"IRM00040747","SANANDAJ, IR","2025-03-10","0.16",",,S",,,"44","H,,S","52",",,S","38",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-11","0.02",",,S",,,"46","H,,S","56",",,S",,
"IRM00040747","SANANDAJ, IR","2025-03-12","0.00",",,S",,,"47","H,,S","64",",,S",,
"IRM00040747","SANANDAJ, IR","2025-03-13","0.00",",,S",,,"50","H,,S","67",",,S","33",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-14","0.00",",,S",,,"52","H,,S","71",",,S","33",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-15","0.00",",,S",,,"54","H,,S","71",",,S","35",",,S"
"IRM00040747","SANANDAJ, IR","2025-03-16","0.00",",,S",,,"55","H,,S","72",",,S","37",",,S"
"IRM00040769","ARAK, IR","2025-01-01","0.11",",,S",,,"32","H,,S","37",",,S",,
"IRM00040769","ARAK, IR","2025-01-02","0.00",",,S","1.6",",,S","28","H,,S","36",",,S",,
"IRM00040769","ARAK, IR","2025-01-03","0.00",",,S","0.4",",,S","23","H,,S","34",",,S","13",",,S"
"IRM00040769","ARAK, IR","2025-01-04","0.00",",,S","0.4",",,S","24","H,,S","41",",,S",,
"IRM00040769","ARAK, IR","2025-01-05","0.00",",,S",,,"28","H,,S","43",",,S",,
"IRM00040769","ARAK, IR","2025-01-06","0.00",",,S","0.4",",,S","33","H,,S","43",",,S",,
"IRM00040769","ARAK, IR","2025-01-07","0.00",",,S",,,"37","H,,S","44",",,S",,
"IRM00040769","ARAK, IR","2025-01-08","0.00",",,S","0.4",",,S","36","H,,S","44",",,S",,
"IRM00040769","ARAK, IR","2025-01-09","0.00",",,S",,,"33","H,,S","45",",,S",,
"IRM00040769","ARAK, IR","2025-01-10","0.00",",,S",,,"35","H,,S","49",",,S","24",",,S"
"IRM00040769","ARAK, IR","2025-01-11","0.00",",,S",,,"37","H,,S","54",",,S",,
"IRM00040769","ARAK, IR","2025-01-12","0.02",",,S",,,"40","H,,S","49",",,S",,
"IRM00040769","ARAK, IR","2025-01-13","0.00",",,S",,,"34","H,,S","41",",,S","26",",,S"
"IRM00040769","ARAK, IR","2025-01-14","0.00",",,S",,,"35","H,,S","44",",,S",,
"IRM00040769","ARAK, IR","2025-01-15","0.00",",,S",,,"31","H,,S",,,,
"IRM00040769","ARAK, IR","2025-01-16","0.06",",,S",,,"37","H,,S","53",",,S",,
"IRM00040769","ARAK, IR","2025-01-17","0.00",",,S",,,"33","H,,S","46",",,S",,
"IRM00040769","ARAK, IR","2025-01-18","0.00",",,S",,,"32","H,,S","48",",,S",,
"IRM00040769","ARAK, IR","2025-01-19","0.00",",,S",,,"35","H,,S","45",",,S",,
"IRM00040769","ARAK, IR","2025-01-20","0.00",",,S",,,"35","H,,S","44",",,S",,
"IRM00040769","ARAK, IR","2025-01-21","0.00","D,,S",,,"33","H,,S","43",",,S",,
"IRM00040769","ARAK, IR","2025-01-22","0.00",",,S",,,"32","H,,S","50",",,S",,
"IRM00040769","ARAK, IR","2025-01-23","0.00",",,S",,,"33","H,,S","47",",,S",,
"IRM00040769","ARAK, IR","2025-01-24","0.00",",,S",,,"36","H,,S","47",",,S","24",",,S"
"IRM00040769","ARAK, IR","2025-01-25","0.03",",,S",,,"37","H,,S","45",",,S",,
"IRM00040769","ARAK, IR","2025-01-26","0.00",",,S",,,"39","H,,S",,,"30",",,S"
"IRM00040769","ARAK, IR","2025-01-27","0.44",",,S","0.8",",,S","32","H,,S","42",",,S",,
"IRM00040769","ARAK, IR","2025-01-28","0.04",",,S","0.8",",,S","33","H,,S",,,,
"IRM00040769","ARAK, IR","2025-01-29","0.00",",,S","0.8",",,S","31","H,,S",,,,
"IRM00040769","ARAK, IR","2025-01-30","0.00",",,S","0.4",",,S","35","H,,S",,,,
"IRM00040769","ARAK, IR","2025-01-31","0.00",",,S",,,"34","H,,S","48",",,S","23",",,S"
"IRM00040769","ARAK, IR","2025-02-01","0.00",",,S",,,"39","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-02","0.00",",,S",,,"36","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-03","0.00",",,S",,,"35","H,,S","51",",,S",,
"IRM00040769","ARAK, IR","2025-02-04","0.00",",,S",,,"37","H,,S","54",",,S",,
"IRM00040769","ARAK, IR","2025-02-05","0.00",",,S",,,"41","H,,S","56",",,S","28",",,S"
"IRM00040769","ARAK, IR","2025-02-06","0.18",",,S",,,"38","H,,S","50",",,S",,
"IRM00040769","ARAK, IR","2025-02-07","0.48",",,S","2.4",",,S","34","H,,S","42",",,S",,
"IRM00040769","ARAK, IR","2025-02-08","0.01",",,S","1.2",",,S","29","H,,S","37",",,S","20",",,S"
"IRM00040769","ARAK, IR","2025-02-09","0.73",",,S","8.3",",,S","31","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-10","0.00",",,S","4.7",",,S","24","H,,S",,,"13",",,S"
"IRM00040769","ARAK, IR","2025-02-11","0.00",",,S","3.9",",,S","27","H,,S",,,"17",",,S"
"IRM00040769","ARAK, IR","2025-02-12","0.16",",,S","2.8",",,S","27","H,,S",,,"20",",,S"
"IRM00040769","ARAK, IR","2025-02-13","0.37",",,S","9.4",",,S","35","H,,S",,,"27",",,S"
"IRM00040769","ARAK, IR","2025-02-14","0.00",",,S","4.7",",,S","34","H,,S","48",",,S","29",",,S"
"IRM00040769","ARAK, IR","2025-02-15","0.00",",,S","2.8",",,S","32","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-16","0.00",",,S","2.0",",,S","35","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-17","0.06",",,S","0.8",",,S","39","H,,S","49",",,S","33",",,S"
"IRM00040769","ARAK, IR","2025-02-18","0.00",",,S",,,"36","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-19","0.00",",,S","0.4",",,S","39","H,,S","52",",,S",,
"IRM00040769","ARAK, IR","2025-02-20","0.00",",,S",,,"43","H,,S","54",",,S","30",",,S"
"IRM00040769","ARAK, IR","2025-02-21","0.01",",,S","0.4",",,S","48","H,,S",,,"37",",,S"
"IRM00040769","ARAK, IR","2025-02-22","0.00",",,S",,,"45","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-23","0.11",",,S","1.2",",,S","37","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-24","0.03",",,S",,,"35","H,,S","42",",,S",,
"IRM00040769","ARAK, IR","2025-02-25","0.00",",,S","0.8",",,S","21","H,,S","32",",,S","14",",,S"
"IRM00040769","ARAK, IR","2025-02-26","0.00",",,S","0.8",",,S","30","H,,S",,,,
"IRM00040769","ARAK, IR","2025-02-27","0.00",",,S","0.4",",,S","34","H,,S","45",",,S",,
"IRM00040769","ARAK, IR","2025-02-28","0.00",",,S",,,"28","H,,S","39",",,S","22",",,S"
"IRM00040769","ARAK, IR","2025-03-01","0.00",",,S",,,"36","H,,S","49",",,S",,
"IRM00040769","ARAK, IR","2025-03-02","0.01",",,S","0.4",",,S","33","H,,S","41",",,S",,
"IRM00040769","ARAK, IR","2025-03-03","0.00",",,S",,,"36","H,,S","54",",,S",,
"IRM00040769","ARAK, IR","2025-03-04","0.00",",,S",,,"43","H,,S","57",",,S",,
"IRM00040769","ARAK, IR","2025-03-05","0.12",",,S",,,"43","H,,S","50",",,S","37",",,S"
"IRM00040769","ARAK, IR","2025-03-06","0.00",",,S",,,"48","H,,S","62",",,S",,
"IRM00040769","ARAK, IR","2025-03-07","0.00",",,S",,,"47","H,,S","58",",,S","34",",,S"
"IRM00040769","ARAK, IR","2025-03-08","0.70",",,S",,,"46","H,,S","55",",,S",,
"IRM00040769","ARAK, IR","2025-03-09","0.02",",,S",,,"47","H,,S","55",",,S",,
"IRM00040769","ARAK, IR","2025-03-10","0.00",",,S",,,"49","H,,S","60",",,S","40",",,S"
