STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TAVG_C,TMAX_C,TMIN_C,CITY
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-01,0.0,,39,45.0,,3.888888888888889,7.222222222222222,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-02,0.0,,39,46.0,31.0,3.888888888888889,7.777777777777778,-0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-03,0.0,,40,57.025291828793776,30.0,4.444444444444445,13.90293990488543,-1.1111111111111112,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-04,0.0,,41,52.0,31.0,5.0,11.11111111111111,-0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-05,0.0,,42,54.0,33.0,5.555555555555555,12.222222222222221,0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-06,0.0,,42,47.0,37.0,5.555555555555555,8.333333333333334,2.7777777777777777,Tehran
IR000400407540,"TEHRAN MEHRABAD, IR",2025-01-07,0.0,,45,57.025291828793776,39.0,7.222222222222222,13.90293990488543,3.888888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-08,0.0,,47,55.0,,8.333333333333334,12.777777777777779,,Tehran
IR00407540,"TEHRAN MEHRABAD, IR",2025-01-09,0.0,,46,55.0,39.0,7.777777777777778,12.777777777777779,3.888888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-10,0.0,,48,57.025291828793776,40.0,8.88888888888889,13.90293990488543,4.444444444444445,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-11,0.0,,47,55.0,40.0,8.333333333333334,12.777777777777779,4.444444444444445,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-12,0.0,,47,55.0,42.0,8.333333333333334,12.777777777777779,5.555555555555555,Tehran
IR0007540,"TEHRAN MEHRABAD, IR",2025-01-13,0.0,,46,54.0,39.0,7.777777777777778,12.222222222222221,3.888888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-14,0.0,,45,54.0,37.0,7.222222222222222,12.222222222222221,2.7777777777777777,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-15,0.0,,46,57.0,38.0,7.777777777777778,13.88888888888889,3.3333333333333335,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-16,0.0,,46,57.025291828793776,,7.777777777777778,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-17,0.0,,43,53.0,,6.111111111111111,11.666666666666666,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-18,0.0,,41,46.0,37.0,5.0,7.777777777777778,2.7777777777777777,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-19,0.05,,40,45.0,35.0,4.444444444444445,7.222222222222222,1.6666666666666667,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-20,0.0,,40,57.025291828793776,,4.444444444444445,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-21,0.0,,40,57.025291828793776,30.0,4.444444444444445,13.90293990488543,-1.1111111111111112,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-22,0.0,,41,57.025291828793776,,5.0,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-23,0.0,,40,47.0,33.0,4.444444444444445,8.333333333333334,0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-24,0.0,,43,57.025291828793776,33.0,6.111111111111111,13.90293990488543,0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-25,0.0,,47,54.0,,8.333333333333334,12.222222222222221,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-26,0.0,,47,54.0,38.0,8.333333333333334,12.222222222222221,3.3333333333333335,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-27,0.32,,40,50.0,,4.444444444444445,10.0,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-28,0.0,,40,57.025291828793776,35.0,4.444444444444445,13.90293990488543,1.6666666666666667,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-29,0.0,,40,45.0,33.0,4.444444444444445,7.222222222222222,0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-30,0.0,,41,49.0,32.0,5.0,9.444444444444445,0.0,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-01-31,0.0,,43,57.025291828793776,33.0,6.111111111111111,13.90293990488543,0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-01,0.0,,42,57.025291828793776,,5.555555555555555,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-02,0.0,,44,57.025291828793776,,6.666666666666667,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-03,0.0,,45,57.025291828793776,,7.222222222222222,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-04,0.0,,46,57.025291828793776,,7.777777777777778,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-05,0.0,,48,54.0,39.0,8.88888888888889,12.222222222222221,3.888888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-06,0.07,,49,56.0,,9.444444444444445,13.333333333333334,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-07,0.2,,38,52.0,,3.3333333333333335,11.11111111111111,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-08,0.0,,39,47.0,29.0,3.888888888888889,8.333333333333334,-1.6666666666666667,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-09,0.06,0.4,32,44.0,,0.0,6.666666666666667,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-10,0.0,,33,40.0,26.0,0.5555555555555556,4.444444444444445,-3.3333333333333335,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-11,0.0,,37,45.0,,2.7777777777777777,7.222222222222222,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-12,0.0,,40,57.025291828793776,,4.444444444444445,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-13,0.02,,39,43.0,35.0,3.888888888888889,6.111111111111111,1.6666666666666667,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-14,0.01,,39,43.0,,3.888888888888889,6.111111111111111,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-15,0.0,0.4,42,50.0,32.0,5.555555555555555,10.0,0.0,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-16,0.0,,45,57.025291828793776,31.0,7.222222222222222,13.90293990488543,-0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-17,0.04,,42,51.0,,5.555555555555555,10.555555555555555,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-18,0.0,,43,53.0,,6.111111111111111,11.666666666666666,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-19,0.0,,46,57.0,33.0,7.777777777777778,13.88888888888889,0.5555555555555556,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-20,0.0,,51,57.025291828793776,40.0,10.555555555555555,13.90293990488543,4.444444444444445,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-21,0.0,,52,57.0,,11.11111111111111,13.88888888888889,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-22,0.0,,47,54.0,,8.333333333333334,12.222222222222221,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-23,0.09,,43,51.0,,6.111111111111111,10.555555555555555,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-24,0.0,,36,46.0,,2.2222222222222223,7.777777777777778,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-25,0.0,,29,38.0,,-1.6666666666666667,3.3333333333333335,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-26,0.0,,35,43.0,25.0,1.6666666666666667,6.111111111111111,-3.888888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-27,0.0,,36,43.0,,2.2222222222222223,6.111111111111111,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-02-28,0.0,,34,57.025291828793776,26.0,1.1111111111111112,13.90293990488543,-3.3333333333333335,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-01,0.0,,40,49.0,,4.444444444444445,9.444444444444445,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-02,0.0,,35,44.0,,1.6666666666666667,6.666666666666667,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-03,0.0,,38,47.0,28.0,3.3333333333333335,8.333333333333334,-2.2222222222222223,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-04,0.0,,45,53.0,37.0,7.222222222222222,11.666666666666666,2.7777777777777777,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-05,0.0,,50,56.0,,10.0,13.333333333333334,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-06,0.0,,53,57.025291828793776,,11.666666666666666,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-07,0.0,,56,63.0,44.0,13.333333333333334,17.22222222222222,6.666666666666667,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-08,0.46,,51,60.0,,10.555555555555555,15.555555555555555,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-09,0.12,,51,56.0,,10.555555555555555,13.333333333333334,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-10,0.26,,53,57.025291828793776,,11.666666666666666,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-11,0.0,,56,65.0,48.0,13.333333333333334,18.333333333333332,8.88888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-12,0.0,,57,65.0,48.0,13.88888888888889,18.333333333333332,8.88888888888889,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-13,0.0,,59,57.025291828793776,,15.0,13.90293990488543,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-14,0.0,,60,69.0,,15.555555555555555,20.555555555555557,,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-15,0.0,,63,57.025291828793776,52.0,17.22222222222222,13.90293990488543,11.11111111111111,Tehran
IR000407540,"TEHRAN MEHRABAD, IR",2025-03-16,0.0,,64,72.0,55.0,17.77777777777778,22.22222222222222,12.777777777777779,Tehran
